rank_gfa,address_fin,postal_code,postal_office_fin,main_purpose_fi,gross_floor_area,volume,number_of_storeys,apartment_count,heating_method_fi,heating_energy_source_fi,facade_material_fi,load_bearing_material_fi,construction_method_fi,completion_date,usage_status_fi,permanent_building_identifier,property_identifier,lon,lat,building_key
1,Muotoilijankuja 3 | Muotoilijankatu 1 | Hämeentie 135,00560,HELSINKI,"Toimisto-, tuotanto-, yhdyskuntatekniikan tai muut rakennukset",118466,538498,8,1,Vesikeskuslämmitys,Kauko- tai aluelämpö,Tiili,Betoni,Paikalla tehty,1874-12-31,Käytetään vakinaiseen asumiseen,1032827011,09102306690012,24.97671212,60.20868692,88af4329-850f-4e6f-9d6c-99f17a8de552
2,Messukuja 3 | Ratamestarinkatu 14 | Messuaukio 1 | Rautatieläisenkatu 3,00520,HELSINKI,Julkinen rakennus,101120,1135220,3,0,Vesikeskuslämmitys,Kauko- tai aluelämpö,Kivi,Betoni,Elementti,1975-12-31,Tyhjillään,1032762896,09101700400008,24.93583912,60.20343128,f1a2536a-b383-4145-83e8-7e77f50802b2
3,Hermannin rantatie 5,00580,HELSINKI,Julkinen rakennus,99292,691500,4,0,Vesikeskuslämmitys,Kauko- tai aluelämpö,Metallilevy,Betoni,Paikalla tehty,2018-09-19,Tyhjillään,103201974X,09101099010000,24.97853263,60.1870236,d3c36ec0-6039-49cf-a326-007736a7381a
4,Fredikanterassi 5 | Fredikanterassi 3 | Fredikanterassi 1 | Firdonkatu 2,00520,HELSINKI,Julkinen rakennus,93303,499000,7,0,Vesikeskuslämmitys,Kauko- tai aluelämpö,Metallilevy,Betoni,Paikalla tehty,2022-11-08,Tyhjillään,103551983J,09101701030001,24.93109435,60.19854301,de970189-6531-449f-b125-d8d02362b678
5,Tennispalatsinaukio 4 | Urho Kekkosen katu 1 | Urho Kekkosen katu 5 | Fredrikinkatu 63a | Urho Kekkosen katu 3 | Annanaukio 2 | Narinkka 5 | Urho Kekkosen katu 7,00100,HELSINKI,Julkinen rakennus,81257,644899,9,99,Vesikeskuslämmitys,Kauko- tai aluelämpö,Tiili,Betoni,Elementti,2005-09-16,Käytetään vakinaiseen asumiseen,103055979D,09100400070006,24.93223275,60.16869572,4765781a-4a7f-4ce4-a452-856db7be8b24
6,Salmisaarenranta 7 | Porkkalankatu 13,00180,HELSINKI,"Toimisto-, tuotanto-, yhdyskuntatekniikan tai muut rakennukset",77354,275440,9,0,Vesikeskuslämmitys,Kauko- tai aluelämpö,Tiili,Betoni,Paikalla tehty,1940-12-31,Tyhjillään,103303921J,09102007810007,24.90110322,60.16330202,85fd5e92-e325-47bd-a864-7a38547bd104
7,Ratapihantie 17,00520,HELSINKI,"Toimisto-, tuotanto-, yhdyskuntatekniikan tai muut rakennukset",73458,230304,6,0,Sähkölämmitys,Kauko- tai aluelämpö,Metallilevy,Betoni,Elementti,2002-08-23,Tyhjillään,1032762907,09101700400008,24.93689425,60.20530696,07a22d56-d772-4539-87be-7ea5bee24632
8,Asemapäällikönkatu 11 | Ratapihantie 7 | Junailijankuja 6-8 | Opastinsilta 12,00520,HELSINKI,"Toimisto-, tuotanto-, yhdyskuntatekniikan tai muut rakennukset",70707,449102,8,0,Vesikeskuslämmitys,Kauko- tai aluelämpö,Betoni,Betoni,Elementti,1981-12-31,Tyhjillään,1032670549,09101700160001,24.93606185,60.19902462,95558906-839c-47ae-80ab-36ed876022fc
9,Haartmaninkatu 4,00290,HELSINKI,Julkinen rakennus,63159,280479,15,0,Vesikeskuslämmitys,Kauko- tai aluelämpö,Lasi,Teräs,Elementti,1965-12-31,Tyhjillään,1032385006,09101505260009,24.90598157,60.1883134,e4f8ccb8-2dd0-4af8-a1de-47e67bb2d9d0
10,Radiokuja 3 | Uutiskatu 5 | Radiokatu 5 | Radiokuja 1,00240,HELSINKI,"Toimisto-, tuotanto-, yhdyskuntatekniikan tai muut rakennukset",60514,318235,7,0,Vesikeskuslämmitys,Kauko- tai aluelämpö,Muu,Betoni,Elementti,1978-12-31,Tyhjillään,1032763195,09101700530003,24.92170158,60.20356073,bbfd72f4-ed7e-4e72-8610-fc951e97e579
11,Hernepellontie,00560,HELSINKI,"Toimisto-, tuotanto-, yhdyskuntatekniikan tai muut rakennukset",60000,710000,,0,,,,,,1994-06-03,Tyhjillään,102354744X,09143400020021,24.99541558,60.2281021,a4efbcc8-d818-4a0c-b11f-7324512cb9eb
12,Mannerheimintie 1 | Pohjoisesplanadi 41 | Keskuskatu 2 | Aleksanterinkatu 52,00100,HELSINKI,Julkinen rakennus,58012,301004,9,0,Vesikeskuslämmitys,Kauko- tai aluelämpö,Tiili,Betoni,Paikalla tehty,1930-01-01,Tyhjillään,1030367460,09100200070001,24.94213401,60.16861635,3980cf62-4517-4346-b6bb-1c2d12e18124
13,Päijänteentie 14 | Gebhardinaukio 1,00510,HELSINKI,"Toimisto-, tuotanto-, yhdyskuntatekniikan tai muut rakennukset",56467,349587,8,0,Vesikeskuslämmitys,Kauko- tai aluelämpö,Betoni,Betoni,Elementti,2015-05-20,Tyhjillään,100955113J,09102205320021,24.95964167,60.1909197,2b8af391-ac99-4ccb-80ad-92de16a6de3b
14,Hiomotie 13 | Strömbergintie 1 | Strömbergin aukio 17,00380,HELSINKI,"Toimisto-, tuotanto-, yhdyskuntatekniikan tai muut rakennukset",54454,467712,2,0,Vesikeskuslämmitys,Kauko- tai aluelämpö,Tiili,Teräs,Elementti,1916-12-31,Tyhjillään,101633049E,09104600180024,24.86776497,60.22161166,f296f623-e56d-4a28-8757-e3cd11e4ca00
15,Paciuksenkatu 1,00290,HELSINKI,Julkinen rakennus,54097,364540,8,0,Vesikeskuslämmitys,Kauko- tai aluelämpö,Lasi,Betoni,Elementti,2022-06-20,Käytöstä ei ole tietoa,1037061367,09101505260009,24.90412134,60.1886343,adc56cbc-e2e9-432b-8f3b-12fcdfcf87e5
16,Laulukuja 3 | Kantelettarentie 1e,00420,HELSINKI,Julkinen rakennus,51969,648228,2,0,Ilmakeskuslämmitys,Kauko- tai aluelämpö,Metallilevy,Betoni,Elementti,2009-02-26,Tyhjillään,100924263C,09103302040009,24.8916679,60.23626621,a036d51e-0869-4a5a-a479-3014a7444325
17,Postintaival 9,00230,HELSINKI,"Toimisto-, tuotanto-, yhdyskuntatekniikan tai muut rakennukset",50051,400113,2,0,Vesikeskuslämmitys,Kauko- tai aluelämpö,Betoni,Betoni,Elementti,1977-01-01,Tyhjillään,102384065S,09143600030009,24.92070525,60.21502407,9428faa0-ac4b-47fc-be98-4f8b6ecc82b5
18,Linnanrakentajantie 2a | Insinöörinkatu 4 | Suunnittelijankatu 4 | Operaattorinkatu 4,00880,HELSINKI,Julkinen rakennus,48863,237400,6,1,Vesikeskuslämmitys,Kauko- tai aluelämpö,Muu,Betoni,Elementti,2020-02-27,Käytetään vakinaiseen asumiseen,1031403878,09104300510018,25.03304362,60.19474165,fbd942c9-dc80-4cf9-a708-9a32fa3eb4ac
19,Kaapeliaukio 4 | Kaapeliaukio 3 | Tammasaarenkatu 2 | Tammasaarenlaituri 5 | Tallberginkatu 1 | Itämerenkatu 32,00180,HELSINKI,Julkinen rakennus,48241,223242,8,3,Vesikeskuslämmitys,Kauko- tai aluelämpö,Tiili,Betoni,Paikalla tehty,1941-12-31,Tyhjillään,103382829Y,09102000010006,24.90403291,60.16173163,255a473c-a604-4a8d-a0da-4e4b993f7a99
20,Hiilikatu 4 | Hiililaiturinkuja 2 | Salmisaarenranta 11 | Salmisaarenaukio 2,00180,HELSINKI,"Toimisto-, tuotanto-, yhdyskuntatekniikan tai muut rakennukset",47500,234409,8,0,Vesikeskuslämmitys,Kauko- tai aluelämpö,Tiili,Teräs,Elementti,2008-07-31,Tyhjillään,103295112C,09102000490001,24.89994309,60.16622976,652cc420-900d-43a5-bf84-3781baf6c619
21,Rautatientori 1 | Bergbominkuja 4 | Vilhonkatu 13 | Läntinen Teatterikuja 2 | Kaivokatu 1 | Elielinaukio 3 | Asema-aukio 1,00100,HELSINKI,Julkinen rakennus,46486,315974,5,0,Vesikeskuslämmitys,Kauko- tai aluelämpö,Kivi,Betoni,Paikalla tehty,1909-12-31,Tyhjillään,103036759D,09100200110001,24.94182825,60.1711984,4f1df56e-c116-4722-a6ec-cff9857fa871
22,Tukkutorinkuja 5 | Työpajankatu 12 | Hermannin rantatie 13 | Kalasatamankatu 12,00580,HELSINKI,"Toimisto-, tuotanto-, yhdyskuntatekniikan tai muut rakennukset",46393,270428,6,0,Vesikeskuslämmitys,Kauko- tai aluelämpö,Tiili,Betoni,Elementti,2019-05-20,Tyhjillään,103617387B,09101005990001,24.97880418,60.18847381,b61d824d-b596-478f-9013-e0671587f28c
23,Myllypurontie 1,00920,HELSINKI,Julkinen rakennus,44703,241800,7,0,Vesikeskuslämmitys,Kauko- tai aluelämpö,Metallilevy,Betoni,Elementti,2018-11-09,Tyhjillään,103570498T,09104501650003,25.07836835,60.22358144,b55962df-1d5d-45f3-8831-5f9e3f196c06
24,Veturitie 21 | Areenankuja 1,00240,HELSINKI,Julkinen rakennus,44621,501521,6,0,Ilmakeskuslämmitys,Kauko- tai aluelämpö,Metallilevy,Betoni,Elementti,1997-12-31,Tyhjillään,103276340U,09101700550001,24.92918189,60.20569871,943a0e4d-47f2-4d6d-872b-21b9d68caeaf
25,Holkkitie 5,00880,HELSINKI,Julkinen rakennus,44447,290154,4,0,Vesikeskuslämmitys,Maalämpöpumppu,Metallilevy,Betoni,Elementti,2025-12-05,Käytöstä ei ole tietoa,104039374U,09104501900016,25.05685593,60.2133524,91952a18-af28-4726-8764-cb54e591e206
26,Itäkatu 7,00930,HELSINKI,Julkinen rakennus,44242,145235,4,0,Vesikeskuslämmitys,Kauko- tai aluelämpö,Muu,Betoni,Elementti,1984-12-31,Tyhjillään,101992775H,09104501730005,25.08038558,60.21038985,dfad562f-7d74-4d7f-ba50-90233436d358
27,Valimotie 17 | Valimokuja 2,00380,HELSINKI,"Toimisto-, tuotanto-, yhdyskuntatekniikan tai muut rakennukset",40775,197356,6,0,Vesikeskuslämmitys,Kauko- tai aluelämpö,Muu,Teräs,Elementti,1993-12-31,Tyhjillään,101633028S,09104600140015,24.87967276,60.21951213,3dae9a56-0049-420b-a9c1-cdec1234f041
28,Hammarskjöldintie 4 | Tahkontie 2 | Paavo Nurmen tie 1 | Pohjoinen Stadiontie 4,00250,HELSINKI,Julkinen rakennus,40256,360633,3,6,Vesikeskuslämmitys,Kauko- tai aluelämpö,Betoni,Betoni,Paikalla tehty,1938-12-31,Käytetään vakinaiseen asumiseen,103229080A,09101405140004,24.92841012,60.18703112,e937cfc7-1b38-417a-ad88-d6d35f9edc25
29,Tukholmankatu 6 | Haartmaninkatu 8,00290,HELSINKI,Julkinen rakennus,39076,254500,6,0,Vesikeskuslämmitys,Kauko- tai aluelämpö,Betoni,Betoni,Paikalla tehty,2000-01-12,Tyhjillään,103238493Y,09101505260005,24.90585953,60.19051207,ae4b5b20-6dac-46b7-ae36-827a526763ae
30,Satamakaari 24 | Laivanrakentajantie 22,00980,HELSINKI,"Toimisto-, tuotanto-, yhdyskuntatekniikan tai muut rakennukset",38452,363600,3,0,Vesikeskuslämmitys,Kauko- tai aluelämpö,Metallilevy,Teräs,Paikalla tehty,2008-11-17,Tyhjillään,1021576203,09105499060020,25.17845679,60.21626376,3e6d1632-7c9b-4b59-9940-2bbed72d3403
31,Stenbäckinkatu 9,00290,HELSINKI,Julkinen rakennus,37622,229181,8,0,Vesikeskuslämmitys,Kauko- tai aluelämpö,Muu,Betoni,Paikalla tehty,2018-04-30,Tyhjillään,103515411T,09101505260009,24.90999194,60.18764915,3ef34dcf-0204-447a-8ac0-fa901be47d94
32,Mannerheimintie 15c | Helsinginkatu 58,00260,HELSINKI,Julkinen rakennus,36964,227300,6,2,Vesikeskuslämmitys,Kauko- tai aluelämpö,Muu,Betoni,Paikalla tehty,1993-12-31,Tyhjillään,1032093274,09101404720003,24.92979538,60.18164561,a49c8a67-28d6-45f2-b844-0052f25d3518
33,Länsisatamankatu 2b | Porkkalankatu 20d | Itämerenkatu 21,00180,HELSINKI,Julkinen rakennus,36666,275306,4,1,Vesikeskuslämmitys,Kauko- tai aluelämpö,Tiili,Betoni,Paikalla tehty,1978-12-31,Tyhjillään,103303946B,09102007960005,24.90954138,60.16353425,b57740ef-f558-420c-894b-da562166a7b3
34,Mannerheimintie 9 | Kaivokatu 3 | Postikatu 2 | Asema-aukio 2,00100,HELSINKI,Julkinen rakennus,36525,137782,10,0,Vesikeskuslämmitys,Kauko- tai aluelämpö,Kivi,Betoni,Paikalla tehty,1952-01-01,Tyhjillään,1030461788,09100200990013,24.93832137,60.1704882,b3d5f3ac-714a-4dad-823f-aa30a6009e6c
35,Salmisaarenkatu 9 | Itämerensola 4 | Porkkalankatu 1 | Lepakonaukio 2,00180,HELSINKI,"Toimisto-, tuotanto-, yhdyskuntatekniikan tai muut rakennukset",36474,256650,5,0,Vesikeskuslämmitys,Kauko- tai aluelämpö,Lasi,Betoni,Elementti,2002-05-31,Tyhjillään,1033039449,09102007900004,24.91334761,60.1654715,cda3001f-3602-4c3d-8970-b484e13acf60
36,Paciuksenkatu 3,00290,HELSINKI,"Toimisto-, tuotanto-, yhdyskuntatekniikan tai muut rakennukset",36011,211974,1,0,Vesikeskuslämmitys,Kauko- tai aluelämpö,Betoni,Betoni,Elementti,2015-03-17,Tyhjillään,103238514M,09101505260009,24.90471482,60.18866165,bf6c9eac-0742-46ad-b418-d87a51a48d8c
37,Lautatarhankatu 12 | Panimokatu 1 | Työpajankatu 13 | Hermannin rantatie 2c,00580,HELSINKI,"Toimisto-, tuotanto-, yhdyskuntatekniikan tai muut rakennukset",35841,146366,5,0,Vesikeskuslämmitys,Kauko- tai aluelämpö,,Tiili,,1953-01-01,Tyhjillään,1031422788,09101002800020,24.97389863,60.18817437,6fa52cde-d056-449b-b485-483e9fc6b223
38,Hermannin rantatie 4 | Työpajankatu 8 | Työpajanpiha 1 | Tukkutorinkuja 3,00580,HELSINKI,"Toimisto-, tuotanto-, yhdyskuntatekniikan tai muut rakennukset",35630,209300,7,0,Vesikeskuslämmitys,Kauko- tai aluelämpö,Tiili,Betoni,Elementti,2020-07-23,Käytöstä ei ole tietoa,1036725017,09101005910001,24.97634555,60.18885844,451379d2-e151-469c-804f-cdfe0a46c853
39,Kuninkaantammentie 17 | Vedenkierto 2,00430,HELSINKI,"Toimisto-, tuotanto-, yhdyskuntatekniikan tai muut rakennukset",35352,224535,8,0,Vesikeskuslämmitys,Kauko- tai aluelämpö,Betoni,Betoni,Paikalla tehty,1959-12-31,Tyhjillään,100953448U,09103304110001,24.89718138,60.26437752,61b4f956-95de-416c-867f-ed5d2a8dd20a
40,Sofianlehdonkatu 1 | Sofianlehdonkatu 3,00610,HELSINKI,Julkinen rakennus,35158,111197,10,1,Vesikeskuslämmitys,Kauko- tai aluelämpö,Betoni,Tiili,Paikalla tehty,1960-12-31,Käytetään vakinaiseen asumiseen,103309566M,09102409480007,24.95115769,60.20403714,9d9834d1-8311-4f2b-ac3e-0881d61931f5
41,Hernepellontie 24,00710,HELSINKI,"Toimisto-, tuotanto-, yhdyskuntatekniikan tai muut rakennukset",34491,338987,,0,Ilmakeskuslämmitys,Muu,Muu,Betoni,Elementti,1994-12-31,Tyhjillään,102354743W,09143400020021,24.99177133,60.22538839,ed47931d-6a08-4498-935e-607acf1de486
42,Ilmalantori 4 | Ilmalanportti 2,00240,HELSINKI,"Toimisto-, tuotanto-, yhdyskuntatekniikan tai muut rakennukset",34175,204943,6,0,Vesikeskuslämmitys,Maalämpö tms.,Muu,Betoni,Elementti,2015-12-17,Tyhjillään,1017733465,09101700560009,24.91780564,60.20780197,dc976c3c-d869-4cf3-b7d5-9c30cd0873f6
43,Tietokuja 2 | Laajalahdentie 23,00330,HELSINKI,"Toimisto-, tuotanto-, yhdyskuntatekniikan tai muut rakennukset",33643,246546,6,1,Vesikeskuslämmitys,Kauko- tai aluelämpö,Muu,Betoni,Elementti,1979-12-31,Käytetään vakinaiseen asumiseen,103460634T,09103000960002,24.87824244,60.20169573,bc0a94ab-92ff-48ba-b1da-fee1dfc3217d
44,Töölönlahdenkatu 16 | Mannerheimintie 13a | Kansalaistori 2,00100,HELSINKI,Julkinen rakennus,32966,273190,7,0,Vesikeskuslämmitys,Kauko- tai aluelämpö,Muu,Betoni,Paikalla tehty,2011-04-15,Tyhjillään,103036765L,09100200130001,24.9351065,60.1737435,8cfc23d5-4150-4816-b8cd-2b6800e54d94
45,Meijeritie 3,00370,HELSINKI,"Toimisto-, tuotanto-, yhdyskuntatekniikan tai muut rakennukset",32560,195299,3,0,Vesikeskuslämmitys,Kauko- tai aluelämpö,,Betoni,,1961-01-01,Tyhjillään,1016428963,09104600540004,24.87309819,60.22540689,c8220712-a0d3-49ae-97ca-acf45704ed75
46,Porkkalankatu 11,00180,HELSINKI,"Toimisto-, tuotanto-, yhdyskuntatekniikan tai muut rakennukset",31682,307135,12,0,Vesikeskuslämmitys,Kauko- tai aluelämpö,Betoni,Betoni,Paikalla tehty,,Tyhjillään,103333459C,09102007860006,24.90529334,60.16514679,52fbc765-8fc6-4387-b857-34f645ce1c99
47,Höyläämötie 1,00380,HELSINKI,"Toimisto-, tuotanto-, yhdyskuntatekniikan tai muut rakennukset",31656,169508,6,0,Vesikeskuslämmitys,Kauko- tai aluelämpö,Muu,Betoni,Elementti,1984-10-19,Tyhjillään,101633081F,09104600250010,24.87941737,60.21480143,feccd240-e331-40eb-b46a-e4b1ec416c32
48,Pietari Kalmin katu 5 | Gustaf Hällströmin katu 2 | Ernst Lindelöfin katu 1 | Väinö Auerin katu 14,00560,HELSINKI,Julkinen rakennus,31641,183995,4,0,Vesikeskuslämmitys,Kauko- tai aluelämpö,Muu,Muu,Elementti,2001-01-26,Tyhjillään,1033096080,09102409590002,24.96303419,60.20486682,09bbe052-f328-41fe-ba43-2a238c3a9b03
49,Varikkotie 2b | Varikkokuja 3,00880,HELSINKI,Julkinen rakennus,31560,241800,2,0,Vesikeskuslämmitys,Kauko- tai aluelämpö,Metallilevy,Betoni,Elementti,2005-10-27,Tyhjillään,101992868H,09104501960019,25.06235658,60.21006479,e65f0dc3-9e6b-4d6d-8fe8-5d3efca59972
50,Ruoholahdenkatu 3,00180,HELSINKI,"Toimisto-, tuotanto-, yhdyskuntatekniikan tai muut rakennukset",31288,160341,,0,Ilmakeskuslämmitys,Kauko- tai aluelämpö,Kivi,Muu,Paikalla tehty,2009-05-04,Tyhjillään,103075022P,09100499010100,24.9292624,60.16662838,b3a33a21-d3a4-4cc8-a117-5b0241acfbae
51,Asentajankatu 6 | Sorvaajankatu 20,00880,HELSINKI,"Toimisto-, tuotanto-, yhdyskuntatekniikan tai muut rakennukset",31160,156450,3,0,Vesikeskuslämmitys,Kauko- tai aluelämpö,Betoni,Betoni,Elementti,1990-10-01,Tyhjillään,103226605F,09104300800006,25.04337401,60.1981818,7f09a35f-fb3d-4651-9d58-b1ce1b34ff38
52,Pursimiehenkatu 29-31 | Merimiehenkatu 36-40 | Perämiehenkatu 10-12 | Telakkakatu 7-9,00150,HELSINKI,"Toimisto-, tuotanto-, yhdyskuntatekniikan tai muut rakennukset",30899,157520,6,0,Vesikeskuslämmitys,Kauko- tai aluelämpö,Tiili,Betoni,Paikalla tehty,1920-12-31,Tyhjillään,103093963P,09100501190007,24.93387523,60.15861661,2f7aa826-b6dd-453a-9767-e9c675a48fa0
53,Toinen linja 4 | Porthaninrinne 2 | Eläintarhantie 3,00530,HELSINKI,"Toimisto-, tuotanto-, yhdyskuntatekniikan tai muut rakennukset",30610,136150,11,4,Vesikeskuslämmitys,Kauko- tai aluelämpö,Muu,Betoni,Paikalla tehty,1965-12-31,Käytetään muuhun tilapäiseen asumiseen,103170991F,09101103630003,24.94684873,60.18145282,c1c0d97b-1134-4f04-aecb-0f3394259d56
54,Pursimiehenkatu 26-30 | Perämiehenkatu 6-8 | Telakkakatu 5 | Tehtaankatu 27-29,00150,HELSINKI,"Toimisto-, tuotanto-, yhdyskuntatekniikan tai muut rakennukset",30561,112513,8,6,Vesikeskuslämmitys,Kauko- tai aluelämpö,Muu,Tiili,Paikalla tehty,1898-12-31,Käytetään vakinaiseen asumiseen,103093965S,09100501200005,24.93456837,60.15819629,b20b4b24-f5d3-4b9e-91fb-5cb971fb6be3
55,Tenholantie 10 | Kiskontie 19a,00280,HELSINKI,Julkinen rakennus,30294,118100,5,4,Vesikeskuslämmitys,Kauko- tai aluelämpö,Puu,Betoni,Elementti,1943-12-31,Käytetään vakinaiseen asumiseen,103257150T,09101607290022,24.90801308,60.20230354,525ad61e-39d4-4f79-8851-0f239ed74b43
56,Stenbäckinkatu 9 | Haartmaninkatu 2,00290,HELSINKI,Julkinen rakennus,30239,137387,7,0,Vesikeskuslämmitys,Kauko- tai aluelämpö,Muu,Betoni,Paikalla tehty,1934-12-31,Tyhjillään,1032385028,09101505260009,24.91087449,60.18880378,626ccade-73e7-4f92-8a7f-7b584ac3be3e
57,Lyypekinkuja 1 | Gotlanninkatu 13 | Kauppakartanonkatu 3,00930,HELSINKI,Julkinen rakennus,30034,329845,4,0,Vesikeskuslämmitys,Kauko- tai aluelämpö,Muu,Betoni,Elementti,2017-09-04,Tyhjillään,103530047X,09104501770007,25.08606336,60.2098971,a3e83e5c-1797-4aa1-aefd-6e1060b50cef
58,Kustaankatu 10 | Aleksis Kiven katu 5,00500,HELSINKI,"Toimisto-, tuotanto-, yhdyskuntatekniikan tai muut rakennukset",29388,154059,7,0,Vesikeskuslämmitys,Kauko- tai aluelämpö,Tiili,Betoni,Elementti,1973-12-31,Tyhjillään,103254210Y,09102203670014,24.95544345,60.18997479,fa5a5e21-f40a-47e8-9dd0-feb9c68187c3
59,Eteläranta 10 | Pohjoinen Makasiinikatu 2 | Unioninkatu 11 | Eteläinen Makasiinikatu 1,00130,HELSINKI,"Toimisto-, tuotanto-, yhdyskuntatekniikan tai muut rakennukset",29036,107761,11,1,Vesikeskuslämmitys,Kauko- tai aluelämpö,Betoni,Betoni,Paikalla tehty,1952-12-31,Käytetään muuhun tilapäiseen asumiseen,103046286R,09100300540010,24.95202081,60.16529353,3c154e80-f333-4f1e-920a-3b29a5870d85
60,Pasilan asema-aukio 1 | Veturitie 11 | Ratapihantie 6,00520,HELSINKI,"Toimisto-, tuotanto-, yhdyskuntatekniikan tai muut rakennukset",28976,134362,10,0,Vesikeskuslämmitys,Kauko- tai aluelämpö,Muu,Betoni,Elementti,2020-02-13,Tyhjillään,103610663E,09141000010004,24.93273065,60.1986314,b8fe8269-b2db-4d61-9764-10693ac85634
61,Eduskuntakatu 1 | Mannerheimintie 30 | Aurorankatu 6,00100,HELSINKI,"Toimisto-, tuotanto-, yhdyskuntatekniikan tai muut rakennukset",28957,195200,5,1,Vesikeskuslämmitys,Kauko- tai aluelämpö,Kivi,Muu,Paikalla tehty,1931-01-01,Tyhjillään,1031902037,09101304000002,24.93297738,60.17262349,d779c0a9-5e7d-408d-84a0-0d67fd80899e
62,Kaupintie 3,00440,HELSINKI,"Toimisto-, tuotanto-, yhdyskuntatekniikan tai muut rakennukset",28891,155922,6,0,Vesikeskuslämmitys,Kauko- tai aluelämpö,Tiili,Betoni,Paikalla tehty,1975-12-31,Tyhjillään,1034484902,09102901590002,24.88634688,60.23334323,6fe58e9b-9b92-4d8e-8f29-df0c9364d964
63,Mannerheiminaukio 1 | Asema-aukio 5 | Elielinaukio 2 | Postikuja 1,00100,HELSINKI,"Toimisto-, tuotanto-, yhdyskuntatekniikan tai muut rakennukset",28640,157789,9,0,Vesikeskuslämmitys,Kauko- tai aluelämpö,Tiili,Betoni,Paikalla tehty,1938-12-31,Tyhjillään,103046180A,09100201030002,24.93797022,60.17148871,7ac955dc-d404-4f56-b6a8-1510e7b0fe38
64,Dunckerinkatu 1 | Mannerheimintie 46 | Töölönkatu 21,00260,HELSINKI,Julkinen rakennus,28479,116317,9,0,Vesikeskuslämmitys,Kauko- tai aluelämpö,Muu,Betoni,Elementti,1971-01-01,Tyhjillään,103209317T,09101404680003,24.92759373,60.17909625,ab114348-dfc4-4cce-bc6c-6b6377d0a3df
65,Olavinkatu 2 | Eteläinen Rautatiekatu 4 | Antinkatu 2 | Salomonkatu 5,00100,HELSINKI,Julkinen rakennus,28146,146339,8,0,Vesikeskuslämmitys,Kauko- tai aluelämpö,Muu,Betoni,Elementti,1980-01-01,Tyhjillään,1030750077,09100402120001,24.93282512,60.17045645,9ee3dffa-759f-4e0e-b7fc-976fdda59344
66,Postikuja 2 | Tekla Hultinin aukio 3 | Eero Erkon katu 2 | Töölönlahdenkatu 2,00100,HELSINKI,"Toimisto-, tuotanto-, yhdyskuntatekniikan tai muut rakennukset",27767,231600,9,0,Vesikeskuslämmitys,Kauko- tai aluelämpö,Muu,Betoni,Paikalla tehty,1999-07-29,Tyhjillään,103036758C,09100200100001,24.93794492,60.17246735,08599a0d-11b1-4d87-80dc-5db9c901d56e
67,Eläintarhantie 1 | Siltasaarenkatu 18 | Porthaninrinne 1,00530,HELSINKI,"Toimisto-, tuotanto-, yhdyskuntatekniikan tai muut rakennukset",27758,129212,10,0,Vesikeskuslämmitys,Kauko- tai aluelämpö,Muu,Betoni,Paikalla tehty,1968-12-31,Tyhjillään,1031519121,09101100010005,24.94927034,60.1805023,8cfa3a25-5fc3-4d85-b1c7-a49d62d845fe
68,Porkkalankatu 12,00180,HELSINKI,"Toimisto-, tuotanto-, yhdyskuntatekniikan tai muut rakennukset",27388,82213,10,0,Ei kiinteää lämmityslaitetta,,Metallilevy,Betoni,Paikalla tehty,1999-05-19,Tyhjillään,1032950103,09102000020011,24.91785403,60.1640424,0ac34fff-3b69-4b56-b405-9e914ab62376
69,Seilorinkatu | Provianttikatu 3,00980,HELSINKI,Julkinen rakennus,27334,290830,2,0,Sähkölämmitys,Sähkö,Metallilevy,Betoni,Paikalla tehty,2017-04-25,Tyhjillään,103565602V,09105499060020,25.18264184,60.2182701,8d7bdce9-9985-4444-8722-40a4977e109d
70,Fabianinkatu 30 | Kaisaniemenkatu 5 | Vuorikatu 7,00100,HELSINKI,Julkinen rakennus,27297,131863,7,0,Ilmakeskuslämmitys,Kauko- tai aluelämpö,Tiili,Betoni,Paikalla tehty,1972-01-01,Tyhjillään,1030368146,09100200370023,24.9485218,60.171401,486b6091-5234-4adc-99ad-ca79cc6448fa
71,Satamakaari 20,00980,HELSINKI,"Toimisto-, tuotanto-, yhdyskuntatekniikan tai muut rakennukset",27289,283400,5,0,Vesikeskuslämmitys,Kauko- tai aluelämpö,Metallilevy,Betoni,Elementti,2009-09-01,Tyhjillään,100125393C,09105403120002,25.17158489,60.21422027,894712f0-d861-43e4-abdd-c3e9974dbc16
72,Postisoudunkatu 7,00230,HELSINKI,"Toimisto-, tuotanto-, yhdyskuntatekniikan tai muut rakennukset",27195,118175,6,0,Vesikeskuslämmitys,Kauko- tai aluelämpö,Metallilevy,Betoni,Elementti,1979-12-31,Tyhjillään,101167217L,09101701010002,24.91836605,60.21291254,b76d8175-a03b-4c1d-9702-6b284bd7fcb2
73,Nauvontie 3 | Hakamäenkuja 1,00280,HELSINKI,"Toimisto-, tuotanto-, yhdyskuntatekniikan tai muut rakennukset",27086,225555,2,0,Vesikeskuslämmitys,Maalämpö tms.,Betoni,Betoni,Elementti,2024-05-15,Käytöstä ei ole tietoa,103993542C,09101607250001,24.90452819,60.20686527,2cdcf086-ed6f-44b8-9939-24bc8a54dc24
