rank_gfa,address_fin,postal_code,postal_office_fin,main_purpose_fi,gross_floor_area,volume,number_of_storeys,apartment_count,heating_method_fi,heating_energy_source_fi,facade_material_fi,load_bearing_material_fi,construction_method_fi,completion_date,usage_status_fi,permanent_building_identifier,property_identifier,lon,lat,building_key
2123,Karibiankuja 4 | Bermudankatu 3 | Karibianranta 8,00220,HELSINKI,Kerrostalo,5092,16743,6,74,Vesikeskuslämmitys,Kauko- tai aluelämpö,Tiili,Betoni,Elementti,2020-08-17,Käytetään vakinaiseen asumiseen,103732664Y,09102000690002,24.90736846,60.15519153,8b2a2cb7-756f-43d2-b225-c6cd3a1d4a49
2124,Pursimiehenkatu 2 | Laivurinkatu 10,00150,HELSINKI,Kerrostalo,5092,23187,6,36,Vesikeskuslämmitys,Kauko- tai aluelämpö,Tiili,Tiili,Paikalla tehty,1890-01-01,Käytetään vakinaiseen asumiseen,103093985D,09100501250002,24.94165334,60.16045326,9e8be16c-fb4b-4046-9b5a-a4008b3da9c6
2125,Saukonpaadenranta 22,00180,HELSINKI,Kerrostalo,5090,21665,7,54,Vesikeskuslämmitys,Kauko- tai aluelämpö,Tiili,Betoni,Elementti,2016-10-03,Käytetään vakinaiseen asumiseen,102840763Y,09102000290006,24.90472385,60.15767368,253c6b32-d472-4418-a11b-0c28fd003f07
2126,Tallinnanaukio 6 | Turunlinnantie 12,00930,HELSINKI,"Toimisto-, tuotanto-, yhdyskuntatekniikan tai muut rakennukset",5090,21900,5,0,Vesikeskuslämmitys,Kauko- tai aluelämpö,Tiili,Betoni,Elementti,1985-02-01,Tyhjillään,101992773E,09104501700002,25.079776,60.21093788,37e1ad8f-b5ed-46cf-9337-c4bcf7c0b161
2127,Messitytönkuja 1 | Välimerenkatu 13,00180,HELSINKI,Kerrostalo,5089,27166,9,61,Ilmakeskuslämmitys,Kauko- tai aluelämpö,Muu,Betoni,Elementti,2013-11-27,Käytetään vakinaiseen asumiseen,103415937Y,09102008000001,24.91501634,60.15904867,a266c2c3-0695-402c-8e39-3f57a460cc35
2128,Museokatu 3 | Töölönkatu 6,00100,HELSINKI,Kerrostalo,5088,21194,5,27,Vesikeskuslämmitys,Kauko- tai aluelämpö,Muu,Tiili,Paikalla tehty,1913-12-31,Käytetään vakinaiseen asumiseen,103199801U,09101304230006,24.92993254,60.17488432,828f3dd3-c8c3-400e-bb1e-2f3368efa8f1
2129,Melkinlaituri 18 | Länsisatamankatu 41,00220,HELSINKI,Kerrostalo,5086,15183,9,52,Vesikeskuslämmitys,Kauko- tai aluelämpö,Tiili,Betoni,Elementti,2025-12-05,Käytetään vakinaiseen asumiseen,103984646D,09102008300004,24.91406841,60.1532493,00c68795-3274-4c96-9c0e-f3c6ae7ab611
2130,Laivapojanaukio 1a | Välimerenkatu 15 | Messitytönkuja 2a,00180,HELSINKI,Kerrostalo,5086,17565,9,112,Vesikeskuslämmitys,Kauko- tai aluelämpö,Tiili,Betoni,Elementti,2024-06-28,Käytetään vakinaiseen asumiseen,103972941U,09102000170016,24.9138329,60.15867075,1c7c8332-0124-47ad-8eca-d0f1c3b342ae
2131,Graniittitie 5 | Kiilletie 5,00710,HELSINKI,Kerrostalo,5085,17618,4,64,Vesikeskuslämmitys,Kauko- tai aluelämpö,Betoni,Betoni,Elementti,1963-01-01,Käytetään vakinaiseen asumiseen,101456907E,09103800030005,25.0067098,60.23451457,cbd8fcdb-af4a-4ef9-9852-839d1db8abbe
2132,Capellanranta 4 | Capellankuja 3,00580,HELSINKI,Kerrostalo,5084,17260,8,54,Vesikeskuslämmitys,Kauko- tai aluelämpö,Tiili,Betoni,Elementti,2019-10-23,Käytetään vakinaiseen asumiseen,103672387J,09101006000006,24.98341024,60.18836433,767b7630-ab03-407b-9927-685ce9445f52
